gene	cluster	Family	Short_description
AT4G19430	UU	NA	NA
AT4G19645	UU	NA	NA
AT4G20020	UU	NA	NA
AT4G20830	UU	NA	NA
AT4G21090	UU	NA	NA
AT4G21213	UU	NA	NA
AT4G21310	UU	NA	NA
AT4G21320	UU	NA	NA
AT4G21323	UU	NA	NA
AT4G21580	UU	NA	NA
AT4G21810	UU	NA	NA
AT4G22170	UU	NA	NA
AT4G22240	UU	NA	NA
AT4G22340	UU	NA	NA
AT4G22350	UU	NA	NA
AT4G22620	UU	NA	NA
AT4G22670	UU	NA	NA
AT4G22740	UU	NA	NA
AT4G22780	UU	NA	NA
AT4G22950	UU	MIKC_MADS	AGAMOUS-like 19
AT4G23190	UU	NA	NA
AT4G23493	UU	NA	NA
AT4G23570	UU	NA	NA
AT4G23885	UU	NA	NA
AT4G23920	UU	NA	NA
AT4G24190	UU	NA	NA
AT4G24280	UU	NA	NA
AT4G24380	UU	NA	NA
AT4G24410	UU	NA	NA
AT4G24420	UU	NA	NA
AT4G24730	UU	NA	NA
AT4G25130	UU	NA	NA
AT4G25200	UU	NA	NA
AT4G25225	UU	NA	NA
AT4G25340	UU	NA	NA
AT4G25380	UU	NA	NA
AT4G25390	UU	NA	NA
AT4G25433	UU	NA	NA
AT4G25470	UU	ERF	C-repeat/DRE binding factor 2
AT4G25690	UU	NA	NA
AT4G25692	UU	NA	NA
AT4G25810	UU	NA	NA
AT4G26080	UU	NA	NA
AT4G26200	UU	NA	NA
AT4G26270	UU	NA	NA
AT4G26500	UU	NA	NA
AT4G26670	UU	NA	NA
AT4G26701	UU	NA	NA
AT4G26770	UU	NA	NA
AT4G26780	UU	NA	NA
AT4G26990	UU	NA	NA
AT4G27280	UU	NA	NA
AT4G27410	UU	NAC	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT4G27440	UU	NA	NA
AT4G27460	UU	NA	NA
AT4G27580	UU	NA	NA
AT4G27652	UU	NA	NA
AT4G27654	UU	NA	NA
AT4G27657	UU	NA	NA
AT4G27670	UU	NA	NA
AT4G27680	UU	NA	NA
AT4G27830	UU	NA	NA
AT4G27890	UU	NA	NA
AT4G27940	UU	NA	NA
AT4G27970	UU	NA	NA
AT4G28085	UU	NA	NA
AT4G28140	UU	ERF	Integrase-type DNA-binding superfamily protein
AT4G28150	UU	NA	NA
AT4G28390	UU	NA	NA
AT4G28480	UU	NA	NA
AT4G28703	UU	NA	NA
AT4G29070	UU	NA	NA
AT4G29330	UU	NA	NA
AT4G29340	UU	NA	NA
AT4G29360	UU	NA	NA
AT4G29520	UU	NA	NA
AT4G29770	UU	NA	NA
AT4G29780	UU	NA	NA
AT4G29880	UU	NA	NA
AT4G29905	UU	NA	NA
AT4G30240	UU	NA	NA
AT4G30390	UU	NA	NA
AT4G30430	UU	NA	NA
AT4G30490	UU	NA	NA
AT4G30500	UU	NA	NA
AT4G30940	UU	NA	NA
AT4G31355	UU	NA	NA
AT4G31370	UU	NA	NA
AT4G31380	UU	NA	NA
AT4G31615	UU	B3	Transcriptional factor B3 family protein
AT4G32208	UU	NA	NA
AT4G32280	UU	NA	NA
AT4G32480	UU	NA	NA
AT4G32610	UU	NA	NA
AT4G33440	UU	NA	NA
AT4G33467	UU	NA	NA
AT4G33660	UU	NA	NA
AT4G33880	UU	bHLH	ROOT HAIR DEFECTIVE 6-LIKE 2
AT4G33905	UU	NA	NA
AT4G33910	UU	NA	NA
AT4G33920	UU	NA	NA
AT4G33930	UU	NA	NA
AT4G33940	UU	NA	NA
AT4G34150	UU	NA	NA
AT4G34400	UU	B3	AP2/B3-like transcriptional factor family protein
AT4G34410	UU	ERF	redox responsive transcription factor 1
AT4G34510	UU	NA	NA
AT4G34680	UU	GATA	GATA transcription factor 3
AT4G35290	UU	NA	NA
AT4G35690	UU	NA	NA
AT4G35985	UU	NA	NA
AT4G36010	UU	NA	NA
AT4G36490	UU	NA	NA
AT4G36700	UU	NA	NA
AT4G36950	UU	NA	NA
AT4G36988	UU	NA	NA
AT4G36990	UU	HSF	heat shock factor 4
AT4G37390	UU	NA	NA
AT4G37710	UU	NA	NA
AT4G37990	UU	NA	NA
AT4G38020	UU	NA	NA
AT4G38030	UU	NA	NA
AT4G38060	UU	NA	NA
AT4G38580	UU	NA	NA
AT4G39235	UU	NA	NA
AT4G39360	UU	NA	NA
AT4G39470	UU	NA	NA
AT4G39520	UU	NA	NA
AT4G39670	UU	NA	NA
AT4G39675	UU	NA	NA
AT4G39700	UU	NA	NA
AT5G01060	UU	NA	NA
AT5G01180	UU	NA	NA
AT5G01350	UU	NA	NA
AT5G01380	UU	Trihelix	Homeodomain-like superfamily protein
AT5G01990	UU	NA	NA
AT5G02020	UU	NA	NA
AT5G02170	UU	NA	NA
AT5G02430	UU	NA	NA
AT5G02490	UU	NA	NA
AT5G02500	UU	NA	NA
AT5G02810	UU	NA	NA
AT5G03160	UU	NA	NA
AT5G03210	UU	NA	NA
AT5G03340	UU	NA	NA
AT5G03435	UU	NA	NA
AT5G03440	UU	NA	NA
AT5G03560	UU	NA	NA
AT5G03720	UU	HSF	heat shock transcription factor A3
AT5G03740	UU	C2H2	histone deacetylase 2C
AT5G03890	UU	NA	NA
AT5G03930	UU	NA	NA
AT5G03990	UU	NA	NA
AT5G03995	UU	NA	NA
AT5G04340	UU	C2H2	zinc finger of Arabidopsis thaliana 6
AT5G04380	UU	NA	NA
AT5G04410	UU	NAC	NAC domain containing protein 2
AT5G04610	UU	NA	NA
AT5G04840	UU	NA	NA
AT5G04890	UU	NA	NA
AT5G04940	UU	NA	NA
AT5G04980	UU	NA	NA
AT5G05220	UU	NA	NA
AT5G05410	UU	ERF	DRE-binding protein 2A
AT5G05480	UU	NA	NA
AT5G05490	UU	NA	NA
AT5G06280	UU	NA	NA
AT5G06290	UU	NA	NA
AT5G06750	UU	NA	NA
AT5G06820	UU	NA	NA
AT5G07330	UU	NA	NA
AT5G07340	UU	NA	NA
AT5G08380	UU	NA	NA
AT5G09430	UU	NA	NA
AT5G09440	UU	NA	NA
AT5G09590	UU	NA	NA
AT5G09876	UU	NA	NA
AT5G09930	UU	NA	NA
AT5G10100	UU	NA	NA
AT5G10550	UU	NA	NA
AT5G10695	UU	NA	NA
AT5G10700	UU	NA	NA
AT5G10800	UU	NA	NA
AT5G10870	UU	NA	NA
AT5G10890	UU	NA	NA
AT5G11090	UU	NA	NA
AT5G11100	UU	NA	NA
AT5G11110	UU	NA	NA
AT5G11140	UU	NA	NA
AT5G11340	UU	NA	NA
AT5G11680	UU	NA	NA
AT5G12020	UU	NA	NA
AT5G12030	UU	NA	NA
AT5G12040	UU	NA	NA
AT5G12110	UU	NA	NA
AT5G12280	UU	NA	NA
AT5G12900	UU	NA	NA
AT5G13080	UU	WRKY	WRKY DNA-binding protein 75
AT5G13150	UU	NA	NA
AT5G13190	UU	NA	NA
AT5G13200	UU	NA	NA
AT5G13210	UU	NA	NA
AT5G13220	UU	NA	NA
AT5G13880	UU	NA	NA
AT5G13920	UU	NA	NA
AT5G14020	UU	NA	NA
AT5G15050	UU	NA	NA
AT5G15250	UU	NA	NA
AT5G15254	UU	NA	NA
AT5G15350	UU	NA	NA
AT5G15440	UU	NA	NA
AT5G15450	UU	NA	NA
AT5G15480	UU	C2H2	C2H2-type zinc finger family protein
AT5G15860	UU	NA	NA
AT5G15960	UU	NA	NA
AT5G16140	UU	NA	NA
AT5G16200	UU	NA	NA
AT5G16600	UU	MYB	myb domain protein 43
AT5G16900	UU	NA	NA
AT5G17300	UU	MYB_related	Homeodomain-like superfamily protein
AT5G17310	UU	NA	NA
AT5G17350	UU	NA	NA
AT5G17400	UU	NA	NA
AT5G17850	UU	NA	NA
AT5G18010	UU	NA	NA
AT5G18040	UU	NA	NA
AT5G18065	UU	NA	NA
AT5G18340	UU	NA	NA
AT5G18420	UU	NA	NA
AT5G18700	UU	NA	NA
AT5G19480	UU	NA	NA
AT5G19810	UU	NA	NA
AT5G19875	UU	NA	NA
AT5G19880	UU	NA	NA
AT5G20060	UU	NA	NA
AT5G20230	UU	NA	NA
AT5G20720	UU	NA	NA
AT5G22060	UU	NA	NA
AT5G22410	UU	NA	NA
AT5G22670	UU	NA	NA
AT5G23240	UU	NA	NA
AT5G23350	UU	NA	NA
AT5G23360	UU	NA	NA
AT5G23380	UU	NA	NA
AT5G23480	UU	NA	NA
AT5G24110	UU	WRKY	WRKY DNA-binding protein 30
AT5G24190	UU	NA	NA
AT5G24210	UU	NA	NA
AT5G24230	UU	NA	NA
AT5G24390	UU	NA	NA
AT5G24590	UU	NAC	TCV-interacting protein
AT5G24640	UU	NA	NA
AT5G24660	UU	NA	NA
AT5G25130	UU	NA	NA
AT5G25140	UU	NA	NA
AT5G25180	UU	NA	NA
AT5G25280	UU	NA	NA
AT5G25450	UU	NA	NA
AT5G25930	UU	NA	NA
AT5G27420	UU	NA	NA
AT5G27460	UU	NA	NA
AT5G27660	UU	NA	NA
AT5G28540	UU	NA	NA
AT5G28910	UU	NA	NA
AT5G35320	UU	NA	NA
AT5G35460	UU	NA	NA
AT5G35520	UU	NA	NA
AT5G35735	UU	NA	NA
AT5G35960	UU	NA	NA
AT5G36290	UU	NA	NA
AT5G37260	UU	MYB_related	Homeodomain-like superfamily protein
AT5G37340	UU	NA	NA
AT5G37350	UU	NA	NA
AT5G37400	UU	NA	NA
AT5G37440	UU	NA	NA
AT5G37500	UU	NA	NA
AT5G37670	UU	NA	NA
AT5G37710	UU	NA	NA
AT5G37960	UU	NA	NA
AT5G38750	UU	NA	NA
AT5G38895	UU	NA	NA
AT5G40600	UU	NA	NA
AT5G40645	UU	NA	NA
AT5G40770	UU	NA	NA
AT5G41080	UU	NA	NA
AT5G41380	UU	NA	NA
AT5G41620	UU	NA	NA
AT5G41750	UU	NA	NA
AT5G41761	UU	NA	NA
AT5G41990	UU	NA	NA
AT5G41992	UU	NA	NA
AT5G42020	UU	NA	NA
AT5G42050	UU	NA	NA
AT5G42146	UU	NA	NA
AT5G42150	UU	NA	NA
AT5G42220	UU	NA	NA
AT5G42380	UU	NA	NA
AT5G42470	UU	NA	NA
AT5G42965	UU	NA	NA
AT5G43160	UU	NA	NA
AT5G43170	UU	C2H2	zinc-finger protein 3
AT5G43300	UU	NA	NA
AT5G43420	UU	NA	NA
AT5G43620	UU	NA	NA
AT5G43650	UU	bHLH	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT5G43660	UU	NA	NA
AT5G43950	UU	NA	NA
AT5G44005	UU	NA	NA
AT5G44990	UU	NA	NA
AT5G45230	UU	NA	NA
AT5G45340	UU	NA	NA
AT5G45630	UU	NA	NA
AT5G45640	UU	NA	NA
AT5G46170	UU	NA	NA
AT5G46200	UU	NA	NA
AT5G46210	UU	NA	NA
AT5G46417	UU	NA	NA
AT5G46570	UU	NA	NA
AT5G46610	UU	NA	NA
AT5G46700	UU	NA	NA
AT5G46710	UU	NA	NA
AT5G47060	UU	NA	NA
AT5G47120	UU	NA	NA
AT5G47160	UU	NA	NA
AT5G47420	UU	NA	NA
AT5G47610	UU	NA	NA
AT5G47830	UU	NA	NA
AT5G47920	UU	NA	NA
AT5G48030	UU	NA	NA
AT5G48250	UU	CO-like	B-box type zinc finger protein with CCT domain
AT5G48380	UU	NA	NA
AT5G48470	UU	NA	NA
AT5G48480	UU	NA	NA
AT5G48530	UU	NA	NA
AT5G48570	UU	NA	NA
AT5G49330	UU	MYB	myb domain protein 111
AT5G49370	UU	NA	NA
AT5G49380	UU	NA	NA
AT5G49390	UU	NA	NA
AT5G49560	UU	NA	NA
AT5G49690	UU	NA	NA
AT5G49700	UU	NA	NA
AT5G49910	UU	NA	NA
AT5G49920	UU	NA	NA
AT5G50460	UU	NA	NA
AT5G50780	UU	NA	NA
AT5G51050	UU	NA	NA
AT5G51105	UU	NA	NA
AT5G51190	UU	ERF	Integrase-type DNA-binding superfamily protein
AT5G51370	UU	NA	NA
AT5G51430	UU	NA	NA
AT5G51440	UU	NA	NA
AT5G51630	UU	NA	NA
AT5G51740	UU	NA	NA
AT5G51760	UU	NA	NA
AT5G52570	UU	NA	NA
AT5G52630	UU	NA	NA
AT5G52640	UU	NA	NA
AT5G52750	UU	NA	NA
AT5G52760	UU	NA	NA
AT5G53400	UU	NA	NA
AT5G53680	UU	NA	NA
AT5G54165	UU	NA	NA
AT5G54170	UU	NA	NA
AT5G54300	UU	NA	NA
AT5G54470	UU	NA	NA
AT5G54490	UU	NA	NA
AT5G54860	UU	NA	NA
AT5G54940	UU	NA	NA
AT5G54960	UU	NA	NA
AT5G55020	UU	MYB	myb domain protein 120
AT5G55050	UU	NA	NA
AT5G55830	UU	NA	NA
AT5G55970	UU	NA	NA
AT5G56010	UU	NA	NA
AT5G56030	UU	NA	NA
AT5G56050	UU	NA	NA
AT5G56300	UU	NA	NA
AT5G56600	UU	NA	NA
AT5G56630	UU	NA	NA
AT5G56750	UU	NA	NA
AT5G56960	UU	bHLH	basic helix-loop-helix (bHLH) DNA-binding family protein
AT5G57050	UU	NA	NA
AT5G57100	UU	NA	NA
AT5G57123	UU	NA	NA
AT5G57150	UU	bHLH	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT5G57260	UU	NA	NA
AT5G57510	UU	NA	NA
AT5G57560	UU	NA	NA
AT5G57610	UU	NA	NA
AT5G57910	UU	NA	NA
AT5G57920	UU	NA	NA
AT5G58070	UU	NA	NA
AT5G58110	UU	NA	NA
AT5G58430	UU	NA	NA
AT5G58590	UU	NA	NA
AT5G58770	UU	NA	NA
AT5G58780	UU	NA	NA
AT5G58787	UU	NA	NA
AT5G59220	UU	NA	NA
AT5G59480	UU	NA	NA
AT5G59570	UU	G2-like	Homeodomain-like superfamily protein
AT5G59720	UU	NA	NA
AT5G59820	UU	C2H2	C2H2-type zinc finger family protein
AT5G59830	UU	NA	NA
AT5G60130	UU	B3	AP2/B3-like transcriptional factor family protein
AT5G60610	UU	NA	NA
AT5G60800	UU	NA	NA
AT5G61190	UU	NA	NA
AT5G61510	UU	NA	NA
AT5G61600	UU	ERF	ethylene response factor 104
AT5G61790	UU	NA	NA
AT5G62020	UU	HSF	heat shock transcription factor  B2A
AT5G62090	UU	NA	NA
AT5G62200	UU	NA	NA
AT5G62360	UU	NA	NA
AT5G62430	UU	Dof	cycling DOF factor 1
AT5G62620	UU	NA	NA
AT5G62730	UU	NA	NA
AT5G62910	UU	NA	NA
AT5G63130	UU	NA	NA
AT5G63225	UU	NA	NA
AT5G63450	UU	NA	NA
AT5G63500	UU	NA	NA
AT5G63830	UU	NA	NA
AT5G64170	UU	NA	NA
AT5G64180	UU	NA	NA
AT5G64200	UU	NA	NA
AT5G64310	UU	NA	NA
AT5G64400	UU	NA	NA
AT5G64401	UU	NA	NA
AT5G64510	UU	NA	NA
AT5G64750	UU	ERF	Integrase-type DNA-binding superfamily protein
AT5G64870	UU	NA	NA
AT5G64950	UU	NA	NA
AT5G65030	UU	NA	NA
AT5G65140	UU	NA	NA
AT5G65300	UU	NA	NA
AT5G65490	UU	NA	NA
AT5G65900	UU	NA	NA
AT5G65920	UU	NA	NA
AT5G66052	UU	NA	NA
AT5G66053	UU	NA	NA
AT5G66070	UU	NA	NA
AT5G66090	UU	NA	NA
AT5G66210	UU	NA	NA
AT5G66620	UU	NA	NA
AT5G66880	UU	NA	NA
AT5G66890	UU	NA	NA
AT5G67060	UU	bHLH	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT5G67080	UU	NA	NA
AT5G67300	UU	MYB	myb domain protein r1
AT5G67310	UU	NA	NA
ATCG01130	UU	NA	NA
ATMG00010	UU	NA	NA
ATMG00040	UU	NA	NA
ATMG00050	UU	NA	NA
ATMG00110	UU	NA	NA
ATMG00130	UU	NA	NA
ATMG00140	UU	NA	NA
ATMG00630	UU	NA	NA
ATMG00640	UU	NA	NA
ATMG00660	UU	NA	NA
ATMG00665	UU	NA	NA
ATMG00680	UU	NA	NA
ATMG00690	UU	NA	NA
ATMG00810	UU	NA	NA
ATMG01010	UU	NA	NA
ATMG01030	UU	NA	NA
ATMG01090	UU	NA	NA
ATMG01130	UU	NA	NA
ATMG01170	UU	NA	NA
ATMG01200	UU	NA	NA
ATMG01220	UU	NA	NA
ATMG01280	UU	NA	NA
ATMG01410	UU	NA	NA
AT1G01060	DD	MYB_related	Homeodomain-like superfamily protein
AT1G01120	DD	NA	NA
AT1G01130	DD	NA	NA
AT1G01180	DD	NA	NA
AT1G01200	DD	NA	NA
AT1G01250	DD	ERF	Integrase-type DNA-binding superfamily protein
AT1G01390	DD	NA	NA
AT1G01420	DD	NA	NA
AT1G01430	DD	NA	NA
AT1G01590	DD	NA	NA
AT1G02030	DD	C2H2	C2H2-like zinc finger protein
AT1G02230	DD	NAC	NAC domain containing protein 4
AT1G02405	DD	NA	NA
AT1G02610	DD	NA	NA
AT1G02650	DD	NA	NA
AT1G02730	DD	NA	NA
AT1G02820	DD	NA	NA
AT1G03700	DD	NA	NA
AT1G03710	DD	NA	NA
AT1G03840	DD	C2H2	C2H2 and C2HC zinc fingers superfamily protein
AT1G03850	DD	NA	NA
AT1G03870	DD	NA	NA
AT1G03990	DD	NA	NA
AT1G04220	DD	NA	NA
AT1G04360	DD	NA	NA
AT1G04660	DD	NA	NA
AT1G05020	DD	NA	NA
AT1G05065	DD	NA	NA
AT1G05370	DD	NA	NA
AT1G05420	DD	NA	NA
AT1G05550	DD	NA	NA
AT1G06000	DD	NA	NA
AT1G06090	DD	NA	NA
AT1G06340	DD	NA	NA
AT1G06360	DD	NA	NA
AT1G06540	DD	NA	NA
AT1G06760	DD	NA	NA
AT1G06980	DD	NA	NA
AT1G07050	DD	NA	NA
AT1G07090	DD	NA	NA
AT1G07280	DD	NA	NA
AT1G07290	DD	NA	NA
AT1G08165	DD	NA	NA
AT1G08250	DD	NA	NA
AT1G08430	DD	NA	NA
AT1G09650	DD	NA	NA
AT1G09880	DD	NA	NA
AT1G10020	DD	NA	NA
AT1G10110	DD	NA	NA
AT1G10155	DD	NA	NA
AT1G10790	DD	NA	NA
AT1G10990	DD	NA	NA
AT1G11112	DD	NA	NA
AT1G11440	DD	NA	NA
AT1G11490	DD	NA	NA
AT1G11700	DD	NA	NA
AT1G11710	DD	NA	NA
AT1G12090	DD	NA	NA
AT1G12100	DD	NA	NA
AT1G12260	DD	NAC	NAC 007
AT1G12320	DD	NA	NA
AT1G12380	DD	NA	NA
AT1G12460	DD	NA	NA
AT1G12500	DD	NA	NA
AT1G12630	DD	ERF	Integrase-type DNA-binding superfamily protein
AT1G12750	DD	NA	NA
AT1G13130	DD	NA	NA
AT1G13300	DD	G2-like	myb-like transcription factor family protein
AT1G13420	DD	NA	NA
AT1G13430	DD	NA	NA
AT1G13470	DD	NA	NA
AT1G13530	DD	NA	NA
AT1G13550	DD	NA	NA
AT1G13650	DD	NA	NA
AT1G13670	DD	NA	NA
AT1G13830	DD	NA	NA
AT1G14390	DD	NA	NA
AT1G14430	DD	NA	NA
AT1G14600	DD	G2-like	Homeodomain-like superfamily protein
AT1G14687	DD	ZF-HD	homeobox protein 32
AT1G14920	DD	GRAS	GRAS family transcription factor family protein
AT1G15210	DD	NA	NA
AT1G15260	DD	NA	NA
AT1G15380	DD	NA	NA
AT1G15900	DD	NA	NA
AT1G16160	DD	NA	NA
AT1G16390	DD	NA	NA
AT1G16440	DD	NA	NA
AT1G16490	DD	MYB	myb domain protein 58
AT1G16510	DD	NA	NA
AT1G17030	DD	NA	NA
AT1G17060	DD	NA	NA
AT1G17345	DD	NA	NA
AT1G17430	DD	NA	NA
AT1G17700	DD	NA	NA
AT1G17950	DD	MYB	myb domain protein 52
AT1G18590	DD	NA	NA
AT1G18710	DD	MYB	myb domain protein 47
AT1G18810	DD	NA	NA
AT1G18980	DD	NA	NA
AT1G19190	DD	NA	NA
AT1G19390	DD	NA	NA
AT1G19510	DD	MYB_related	RAD-like 5
AT1G19750	DD	NA	NA
AT1G20190	DD	NA	NA
AT1G20330	DD	NA	NA
AT1G21050	DD	NA	NA
AT1G21060	DD	NA	NA
AT1G21695	DD	NA	NA
AT1G22065	DD	NA	NA
AT1G22330	DD	NA	NA
AT1G22360	DD	NA	NA
AT1G22550	DD	NA	NA
AT1G22600	DD	NA	NA
AT1G22640	DD	MYB	myb domain protein 3
AT1G22650	DD	NA	NA
AT1G22680	DD	NA	NA
AT1G22885	DD	NA	NA
AT1G22900	DD	NA	NA
AT1G23050	DD	NA	NA
AT1G23110	DD	NA	NA
AT1G23200	DD	NA	NA
AT1G23390	DD	NA	NA
AT1G23760	DD	NA	NA
AT1G24147	DD	NA	NA
AT1G24270	DD	NA	NA
AT1G24405	DD	NA	NA
AT1G24470	DD	NA	NA
AT1G24530	DD	NA	NA
AT1G24570	DD	NA	NA
AT1G24620	DD	NA	NA
AT1G24625	DD	C2H2	zinc finger protein 7
AT1G25510	DD	NA	NA
AT1G26210	DD	NA	NA
AT1G26360	DD	NA	NA
AT1G26500	DD	NA	NA
AT1G26510	DD	NA	NA
AT1G26590	DD	C2H2	C2H2-like zinc finger protein
AT1G26610	DD	C2H2	C2H2-like zinc finger protein
AT1G27045	DD	HD-ZIP	Homeobox-leucine zipper protein family
AT1G27050	DD	NA	NA
AT1G27930	DD	NA	NA
AT1G28010	DD	NA	NA
AT1G28220	DD	NA	NA
AT1G28600	DD	NA	NA
AT1G28670	DD	NA	NA
AT1G29179	DD	NA	NA
AT1G29180	DD	NA	NA
AT1G29195	DD	NA	NA
AT1G29490	DD	NA	NA
AT1G30280	DD	NA	NA
AT1G30650	DD	WRKY	WRKY DNA-binding protein 14
AT1G30760	DD	NA	NA
AT1G30860	DD	NA	NA
AT1G31240	DD	NA	NA
AT1G31350	DD	NA	NA
AT1G31835	DD	NA	NA
AT1G32510	DD	NAC	NAC domain containing protein 11
AT1G32610	DD	NA	NA
AT1G33840	DD	NA	NA
AT1G34060	DD	NA	NA
AT1G34580	DD	NA	NA
AT1G35230	DD	NA	NA
AT1G35250	DD	NA	NA
AT1G35255	DD	NA	NA
AT1G35260	DD	NA	NA
AT1G35560	DD	TCP	TCP family transcription factor 
AT1G35710	DD	NA	NA
AT1G36675	DD	NA	NA
AT1G36940	DD	NA	NA
AT1G37130	DD	NA	NA
AT1G38065	DD	NA	NA
AT1G43650	DD	NA	NA
AT1G44030	DD	NA	NA
AT1G44608	DD	NA	NA
AT1G46768	DD	ERF	related to AP2 1
AT1G47603	DD	NA	NA
AT1G47610	DD	NA	NA
AT1G47890	DD	NA	NA
AT1G47920	DD	NA	NA
AT1G48130	DD	NA	NA
AT1G48400	DD	NA	NA
AT1G48480	DD	NA	NA
AT1G49005	DD	NA	NA
AT1G49390	DD	NA	NA
AT1G49470	DD	NA	NA
AT1G49490	DD	NA	NA
AT1G49500	DD	NA	NA
AT1G49610	DD	NA	NA
AT1G50190	DD	NA	NA
AT1G50790	DD	NA	NA
AT1G51140	DD	bHLH	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G51520	DD	NA	NA
AT1G51680	DD	NA	NA
AT1G51805	DD	NA	NA
AT1G52240	DD	NA	NA
AT1G52430	DD	NA	NA
AT1G52450	DD	NA	NA
AT1G52530	DD	NA	NA
AT1G52650	DD	NA	NA
AT1G52750	DD	NA	NA
AT1G52770	DD	NA	NA
AT1G52800	DD	NA	NA
AT1G52830	DD	NA	NA
AT1G52855	DD	NA	NA
AT1G53080	DD	NA	NA
AT1G53270	DD	NA	NA
AT1G53340	DD	NA	NA
AT1G53633	DD	NA	NA
AT1G53880	DD	NA	NA
AT1G53900	DD	NA	NA
AT1G54120	DD	NA	NA
AT1G54530	DD	NA	NA
AT1G54540	DD	NA	NA
AT1G54820	DD	NA	NA
AT1G54890	DD	NA	NA
AT1G55050	DD	NA	NA
AT1G55380	DD	NA	NA
AT1G55390	DD	NA	NA
AT1G55420	DD	NA	NA
AT1G55430	DD	NA	NA
AT1G55550	DD	NA	NA
AT1G55580	DD	GRAS	GRAS family transcription factor
AT1G55610	DD	NA	NA
AT1G55660	DD	NA	NA
AT1G55920	DD	NA	NA
AT1G56010	DD	NAC	NAC domain containing protein 1
AT1G56020	DD	NA	NA
AT1G56650	DD	MYB	production of anthocyanin pigment 1
AT1G56690	DD	NA	NA
AT1G57560	DD	MYB	myb domain protein 50
AT1G57590	DD	NA	NA
AT1G58037	DD	NA	NA
AT1G58430	DD	NA	NA
AT1G58460	DD	NA	NA
AT1G59970	DD	NA	NA
AT1G60060	DD	NA	NA
AT1G61050	DD	NA	NA
AT1G61230	DD	NA	NA
AT1G61255	DD	NA	NA
AT1G61390	DD	NA	NA
AT1G61600	DD	NA	NA
AT1G61840	DD	NA	NA
AT1G61930	DD	NA	NA
AT1G62120	DD	NA	NA
AT1G62370	DD	NA	NA
AT1G62440	DD	NA	NA
AT1G62620	DD	NA	NA
AT1G62870	DD	NA	NA
AT1G62900	DD	NA	NA
AT1G62910	DD	NA	NA
AT1G62930	DD	NA	NA
AT1G63230	DD	NA	NA
AT1G63245	DD	NA	NA
AT1G63370	DD	NA	NA
AT1G63380	DD	NA	NA
AT1G63580	DD	NA	NA
AT1G63910	DD	MYB	myb domain protein 103
AT1G63930	DD	NA	NA
AT1G64107	DD	NA	NA
AT1G64310	DD	NA	NA
AT1G64330	DD	NA	NA
AT1G64405	DD	NA	NA
AT1G64450	DD	NA	NA
AT1G64640	DD	NA	NA
AT1G65060	DD	NA	NA
AT1G65200	DD	NA	NA
AT1G65680	DD	NA	NA
AT1G65790	DD	NA	NA
AT1G65870	DD	NA	NA
AT1G65890	DD	NA	NA
AT1G65920	DD	NA	NA
AT1G66020	DD	NA	NA
AT1G66140	DD	C2H2	zinc finger protein 4
AT1G66350	DD	GRAS	RGA-like 1
AT1G66390	DD	MYB	myb domain protein 90
AT1G66480	DD	NA	NA
AT1G66780	DD	NA	NA
AT1G66830	DD	NA	NA
AT1G67030	DD	NA	NA
AT1G67050	DD	NA	NA
AT1G67900	DD	NA	NA
AT1G68050	DD	NA	NA
AT1G68130	DD	C2H2	indeterminate(ID)-domain 14
AT1G68350	DD	NA	NA
AT1G68360	DD	NA	NA
AT1G68470	DD	NA	NA
AT1G68520	DD	CO-like	B-box type zinc finger protein with CCT domain
AT1G68570	DD	NA	NA
AT1G68600	DD	NA	NA
AT1G68845	DD	NA	NA
AT1G68850	DD	NA	NA
AT1G68880	DD	bZIP	basic leucine-zipper 8
AT1G69150	DD	NA	NA
AT1G69440	DD	NA	NA
AT1G69760	DD	NA	NA
AT1G69780	DD	HD-ZIP	Homeobox-leucine zipper protein family
AT1G70270	DD	NA	NA
AT1G70420	DD	NA	NA
AT1G70630	DD	NA	NA
AT1G71030	DD	MYB_related	MYB-like 2
AT1G71740	DD	NA	NA
AT1G71880	DD	NA	NA
AT1G71970	DD	NA	NA
AT1G72600	DD	NA	NA
AT1G72610	DD	NA	NA
AT1G72910	DD	NA	NA
AT1G73290	DD	NA	NA
AT1G73400	DD	NA	NA
AT1G73410	DD	MYB	myb domain protein 54
AT1G74200	DD	NA	NA
AT1G74290	DD	NA	NA
AT1G74460	DD	NA	NA
AT1G74770	DD	NA	NA
AT1G75050	DD	NA	NA
AT1G75110	DD	NA	NA
AT1G75140	DD	NA	NA
AT1G75590	DD	NA	NA
AT1G75880	DD	NA	NA
AT1G76240	DD	NA	NA
AT1G76410	DD	NA	NA
AT1G76500	DD	NA	NA
AT1G76800	DD	NA	NA
AT1G76890	DD	Trihelix	Duplicated homeodomain-like superfamily protein
AT1G76952	DD	NA	NA
AT1G77400	DD	NA	NA
AT1G77760	DD	NA	NA
AT1G77850	DD	ARF	auxin response factor 17
AT1G77870	DD	NA	NA
AT1G78030	DD	NA	NA
AT1G78440	DD	NA	NA
AT1G78520	DD	NA	NA
