"","description","cluster","Matching.Attribute","ID","shared.name","Family","Class","ABI3VP1_DD","MYBrelated_DD","MYB_DD","CPP_DD","C2C2dof_DD","ZFHD_DD","ARID_DD","Trihelix_DD","NAC_DD","WRKY_DD","C2C2YABBY_DD","ND_DD","Homeobox_DD","BZR_DD","TCP_DD","AP2EREBP_DD","Orphan_DD","bHLH_DD","HB_DD","C2C2gata_DD","HMG_DD","GRF_DD","C2H2_DD"
"318","Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat","DD","AT3G09040","AT3G09040","AT3G09040",NA,"pos",1,0,2,0,0,1,2,0,1,1,1,4,1,0,2,1,1,1,0,1,0,0,0
"319","Raffinose synthase","UU","AT4G01970","AT4G01970","AT4G01970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320","NO_DESCRIPTION","UU","AT4G14270","AT4G14270","AT4G14270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321","UBA-like","UU","AT2G41160","AT2G41160","AT2G41160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322","G-box binding, MFMR;Basic-leucine zipper (bZIP) transcription factor","UU","AT2G46270","AT2G46270","AT2G46270","bZIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323","Transferase","DD","AT4G24510","AT4G24510","AT4G24510",NA,"pos",2,0,2,0,1,1,0,0,3,1,0,1,0,1,5,2,1,1,0,0,1,1,0
"324","Transcription factor, WRKY, Zn-cluster;DNA-binding WRKY","DD","AT5G28650","AT5G28650","AT5G28650","WRKY","pos",1,1,5,2,0,3,4,0,0,1,1,7,1,0,0,1,1,2,1,1,1,1,1
"325","SSF53756","DD","AT2G22930","AT2G22930","AT2G22930",NA,"pos",2,1,2,1,1,3,5,0,0,1,1,4,1,1,4,1,2,2,0,1,0,1,1
"326","Glycoside hydrolase, catalytic core","UU","AT3G60130","AT3G60130","AT3G60130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327","Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat;Pentatricopeptide repeat","UU","AT1G33350","AT1G33350","AT1G33350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328","DNA-binding, integrase-type","DD","AT5G61590","AT5G61590","AT5G61590","ERF","pos",3,2,4,1,0,3,2,1,0,1,1,5,2,0,3,1,1,1,0,1,1,1,1
"329","Protein of unknown function DUF828;Pleckstrin-like, plant","DD","AT5G43870","AT5G43870","AT5G43870",NA,"pos",2,1,4,1,1,2,2,0,4,0,0,4,1,2,3,2,0,1,1,1,1,1,0
"330","Transcriptional factor B3","UU","AT4G34400","AT4G34400","AT4G34400","B3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331","ATPase-like, ATP-binding domain","UU","AT5G50780","AT5G50780","AT5G50780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332","NO_DESCRIPTION","DD","AT1G69760","AT1G69760","AT1G69760",NA,"pos",4,1,3,2,1,3,2,0,3,1,0,7,1,0,3,1,2,1,0,1,1,0,0
"333","Basic-leucine zipper (bZIP) transcription factor","DD","AT5G15830","AT5G15830","AT5G15830","bZIP","pos",4,0,2,0,1,3,5,1,1,1,1,2,1,1,4,1,1,0,1,1,1,1,0
"334","CCAAT-binding transcription factor, subunit B","DD","AT3G14020","AT3G14020","AT3G14020","NF-YA","pos",3,0,1,1,1,2,1,0,0,0,0,4,2,0,1,1,2,1,1,0,1,1,0
"335","NO_DESCRIPTION","DD","AT2G42190","AT2G42190","AT2G42190",NA,"pos",1,1,4,0,0,1,3,0,3,0,0,5,1,1,3,2,1,1,1,1,1,1,1
"336","Eukaryotic translation initiation factor SUI1","UU","AT5G54940","AT5G54940","AT5G54940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"337","Cupredoxin","UU","AT5G15350","AT5G15350","AT5G15350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"338","Cullin repeat-like-containing domain;Cullin homology;SSF46785","UU","AT5G46210","AT5G46210","AT5G46210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339","Transcriptional factor B3","UU","AT1G16640","AT1G16640","AT1G16640","B3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340","Heat shock protein Hsp70","UU","AT4G16660","AT4G16660","AT4G16660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341","Protein phosphatase 2C-related","UU","AT5G06750","AT5G06750","AT5G06750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342","Protein of unknown function DUF538","DD","AT4G24130","AT4G24130","AT4G24130",NA,"pos",0,1,3,0,1,1,3,0,0,1,0,3,0,0,3,0,1,1,0,0,1,0,0
"343","SSF54534;SSF54534;SSF54534;SSF48452","UU","AT5G48570","AT5G48570","AT5G48570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344","SSF53756","DD","AT2G43820","AT2G43820","AT2G43820",NA,"pos",4,0,2,0,1,2,1,0,0,1,1,5,2,0,0,0,1,0,1,0,1,1,0
"345","DNA-binding, integrase-type","DD","AT5G07580","AT5G07580","AT5G07580","ERF","pos",0,1,3,0,0,2,0,0,3,1,0,5,2,2,3,1,1,1,1,1,0,1,1
"346","Protein of unknown function DUF241, plant","DD","AT1G76240","AT1G76240","AT1G76240",NA,"pos",0,1,6,1,0,1,4,1,4,0,0,2,2,1,4,1,3,0,0,1,1,1,1
"347","NO_DESCRIPTION","UU","AT1G33500","AT1G33500","AT1G33500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"348","Mitochondrial substrate carrier","UU","AT4G27940","AT4G27940","AT4G27940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349","NO_DESCRIPTION","DD","AT3G02170","AT3G02170","AT3G02170",NA,"pos",3,0,3,0,1,3,4,0,0,0,0,7,2,0,2,1,1,1,0,0,0,1,0
"350","Homeodomain-like;Leucine zipper, homeobox-associated","DD","AT5G15150","AT5G15150","AT5G15150","HD-ZIP","pos",1,1,5,2,1,2,3,1,3,0,0,7,1,1,0,0,1,0,1,0,0,1,0
"351","Transferase","DD","AT5G39090","AT5G39090","AT5G39090",NA,"pos",1,2,4,2,1,2,1,1,2,1,0,3,1,1,3,1,2,1,0,1,0,1,1
"352","Serine/cysteine peptidase, trypsin-like;PDZ/DHR/GLGF","UU","AT5G27660","AT5G27660","AT5G27660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353","SSF57667","DD","AT5G10970","AT5G10970","AT5G10970","C2H2","pos",1,0,4,1,0,1,3,0,0,0,0,2,0,1,3,1,1,1,0,0,1,1,1
"354","Homeodomain-like","DD","AT1G01060","AT1G01060","AT1G01060","MYB_related","pos",2,1,6,0,1,1,2,0,3,1,1,2,1,2,1,1,2,0,1,1,1,0,1
"355","Tetratricopeptide repeat-containing;Tetratricopeptide repeat;Tetratricopeptide repeat;Tetratricopeptide repeat;Heat shock chaperonin-binding;Tetratricopeptide repeat-containing;Tetratricopeptide repeat;Tetratricopeptide repeat;Tetratricopeptide repeat;Tetratricopeptide repeat;Tetratricopeptide repeat;Tetratricopeptide repeat;Heat shock chaperonin-binding","UU","AT1G62740","AT1G62740","AT1G62740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356","Zinc finger, C2H2-like","DD","AT2G02080","AT2G02080","AT2G02080","C2H2","pos",1,1,2,1,1,1,4,1,0,1,0,7,0,0,3,0,2,1,1,1,0,1,0
"357","SSF51197","DD","AT1G52800","AT1G52800","AT1G52800",NA,"pos",1,1,3,1,0,1,4,0,1,0,1,5,1,1,2,0,1,1,0,1,1,0,1
"358","Pectinesterase inhibitor","UU","AT3G17130","AT3G17130","AT3G17130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"359","DNA-binding, integrase-type","UU","AT5G64750","AT5G64750","AT5G64750","ERF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"360","Thioredoxin-like fold","UU","AT4G15680","AT4G15680","AT4G15680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"361","Auxin responsive SAUR protein","DD","AT5G10990","AT5G10990","AT5G10990",NA,"pos",2,0,4,1,1,3,4,0,2,0,0,3,1,1,1,1,0,1,1,1,1,1,0
"362","Lipopolysaccharide-modifying protein","UU","AT2G45840","AT2G45840","AT2G45840",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"363","Pectinesterase inhibitor","UU","AT1G62760","AT1G62760","AT1G62760",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364","NO_DESCRIPTION","DD","AT1G52855","AT1G52855","AT1G52855",NA,"pos",1,1,4,0,1,3,6,0,3,0,0,5,1,1,3,0,1,1,0,1,0,1,1
"365","Auxin responsive SAUR protein","DD","AT5G20810","AT5G20810","AT5G20810",NA,"pos",0,1,5,1,1,1,3,1,1,0,0,4,1,1,3,0,0,0,0,1,0,0,0
"366","FAD-binding, type 2;Berberine/berberine-like","DD","AT4G20820","AT4G20820","AT4G20820",NA,"pos",3,2,3,1,1,1,3,0,3,1,1,5,2,1,3,2,1,0,1,1,1,0,1
"367","DNA-binding WRKY","DD","AT5G41570","AT5G41570","AT5G41570","WRKY","pos",3,0,5,1,1,1,4,0,3,1,0,4,0,1,2,0,1,1,0,1,0,0,0
"368","Dynein light chain, type 1/2","DD","AT5G20110","AT5G20110","AT5G20110",NA,"pos",1,1,4,0,1,3,4,0,0,1,1,6,2,0,2,3,2,1,1,1,1,0,1
"369","SSF48452","UU","AT5G03560","AT5G03560","AT5G03560",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370","Ubiquitin-conjugating enzyme/RWD-like","UU","AT3G08700","AT3G08700","AT3G08700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","NO_DESCRIPTION","UU","AT4G29905","AT4G29905","AT4G29905",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372","Barwin-related endoglucanase;Pollen allergen/expansin, C-terminal","DD","AT2G40610","AT2G40610","AT2G40610",NA,"pos",4,1,5,1,0,2,3,0,3,1,1,5,1,1,3,1,1,2,1,1,0,0,1
"373","SSF46785","UU","AT5G03720","AT5G03720","AT5G03720","HSF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374","NO_DESCRIPTION","UU","AT4G23493","AT4G23493","AT4G23493",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375","SSF48452;NOVEL00027","UU","AT5G52630","AT5G52630","AT5G52630",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376","NO_DESCRIPTION","DD","AT5G48090","AT5G48090","AT5G48090",NA,"pos",1,1,5,1,1,2,1,0,0,0,1,6,0,0,2,1,1,2,0,1,1,0,1
"377","DNA-binding, integrase-type","UU","AT3G61630","AT3G61630","AT3G61630","ERF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378","NO_DESCRIPTION","UU","AT1G21010","AT1G21010","AT1G21010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","DNA-binding HORMA","UU","AT1G67370","AT1G67370","AT1G67370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","F-box domain, Skp2-like;FBD","UU","AT3G60710","AT3G60710","AT3G60710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381","Chaperone protein htpG","UU","AT5G52640","AT5G52640","AT5G52640",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382","Homeodomain-like","DD","AT5G05090","AT5G05090","AT5G05090","G2-like","pos",3,1,5,2,0,2,2,0,0,1,1,6,1,1,1,2,0,0,1,0,1,0,1
"383","Homeodomain-like;Homeodomain-like","DD","AT5G10280","AT5G10280","AT5G10280","MYB","pos",0,1,4,0,1,0,2,0,0,1,0,3,0,0,1,1,2,0,0,1,1,1,0
"384","Methyltransferase-16, putative","UU","AT5G49560","AT5G49560","AT5G49560",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"385","Ubiquitin-conjugating enzyme/RWD-like","UU","AT3G08690","AT3G08690","AT3G08690",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386","Esterase, SGNH hydrolase-type","DD","AT1G75880","AT1G75880","AT1G75880",NA,"pos",1,1,5,1,1,2,2,1,4,0,0,3,0,1,2,2,0,1,0,1,0,0,1
"387","Helix-loop-helix DNA-binding","DD","AT2G42300","AT2G42300","AT2G42300","bHLH","pos",2,1,4,1,1,1,4,1,0,0,0,2,1,1,3,1,2,2,0,0,0,1,1
"388","O-acyltransferase, WSD1, N-terminal;O-acyltransferase, WSD1, C-terminal","DD","AT5G37300","AT5G37300","AT5G37300",NA,"pos",2,1,3,1,1,2,5,0,4,0,1,6,1,1,0,0,2,1,0,1,0,1,1
"389","Homeodomain-like;Homeodomain-like","DD","AT3G28910","AT3G28910","AT3G28910","MYB","pos",4,0,5,0,1,1,4,1,2,1,1,4,1,0,5,1,2,1,1,1,1,1,1
"390","NPH3","DD","AT1G52770","AT1G52770","AT1G52770",NA,"pos",1,1,3,1,1,0,2,1,3,0,1,3,1,0,1,1,1,0,1,0,0,0,0
"391","NO_DESCRIPTION","DD","AT1G71970","AT1G71970","AT1G71970",NA,"pos",2,1,5,1,1,2,4,1,2,1,1,6,1,0,1,2,0,1,0,1,1,1,1
"392","Zinc finger, C2H2-like","DD","AT4G16610","AT4G16610","AT4G16610","C2H2","pos",1,1,4,2,1,1,1,0,2,1,1,1,2,0,0,0,2,2,1,1,0,1,1
"393","Protein of unknown function DUF761, plant","UU","AT1G61260","AT1G61260","AT1G61260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"394","SSF53474","DD","AT3G61680","AT3G61680","AT3G61680",NA,"pos",2,1,2,1,0,2,1,0,4,1,0,3,1,1,4,2,1,1,0,0,1,0,1
"395","F-box domain, Skp2-like","DD","AT5G48170","AT5G48170","AT5G48170",NA,"pos",3,1,5,2,1,2,3,0,3,1,0,6,1,1,2,3,2,1,1,1,1,1,1
"396","SSF57716","DD","AT3G16870","AT3G16870","AT3G16870","GATA","pos",1,2,5,2,1,1,3,1,2,0,0,4,1,0,2,0,2,0,1,1,1,0,1
"397","NO_DESCRIPTION","DD","AT3G51230","AT3G51230","AT3G51230",NA,"pos",1,1,5,0,1,3,0,1,2,1,0,6,1,0,2,1,2,1,0,1,0,1,0
"398","Zinc finger, B-box;Zinc finger, B-box;CCT domain","UU","AT5G48250","AT5G48250","AT5G48250","CO-like",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399","Pyruvate/Phosphoenolpyruvate kinase, catalytic core;Pyruvate kinase, beta-barrel-like","UU","AT3G49160","AT3G49160","AT3G49160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400","NO_DESCRIPTION","UU","AT5G44005","AT5G44005","AT5G44005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"401","Fatty acid hydroxylase","UU","AT5G52570","AT5G52570","AT5G52570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402","F-box domain, Skp2-like;F-box associated interaction domain","DD","AT3G23880","AT3G23880","AT3G23880",NA,"pos",2,1,2,0,1,0,4,0,2,1,1,5,1,0,4,1,1,0,0,1,0,1,1
"403","NO_DESCRIPTION","UU","AT1G21940","AT1G21940","AT1G21940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404","SSF103511","UU","AT3G22840","AT3G22840","AT3G22840",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"405","Helix-loop-helix DNA-binding","DD","AT4G00050","AT4G00050","AT4G00050","bHLH","pos",3,1,5,2,0,2,6,1,2,0,0,7,1,0,3,3,0,1,0,1,1,0,1
"406","SSF51735","DD","AT2G23910","AT2G23910","AT2G23910",NA,"pos",2,1,3,1,1,2,1,0,0,1,0,7,1,0,3,0,1,1,1,0,1,0,0
"407","Fumarate hydratase, class II","DD","AT5G50950","AT5G50950","AT5G50950",NA,"pos",3,1,3,0,0,2,3,0,3,1,1,6,1,1,1,1,2,1,0,1,1,1,0
"408","Helix-loop-helix DNA-binding","DD","AT4G05170","AT4G05170","AT4G05170","bHLH","pos",4,1,2,1,0,1,3,0,1,1,0,6,0,1,2,1,1,1,0,1,0,1,0
"409","Helix-loop-helix DNA-binding","UU","AT3G22100","AT3G22100","AT3G22100","bHLH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","NO_DESCRIPTION","UU","AT1G03180","AT1G03180","AT1G03180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","DNA-binding WRKY","DD","AT5G22570","AT5G22570","AT5G22570","WRKY","pos",1,1,2,0,0,2,5,0,0,1,1,7,1,1,3,2,1,1,0,1,0,1,0
"412","NO_DESCRIPTION","DD","AT1G29195","AT1G29195","AT1G29195",NA,"pos",1,1,2,2,1,1,4,0,2,0,0,6,1,2,2,1,1,1,1,1,1,1,1
"413","NO_DESCRIPTION","UU","AT4G39360","AT4G39360","AT4G39360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","Thioredoxin-like fold;Glutathione S-transferase, C-terminal-like","UU","AT1G77290","AT1G77290","AT1G77290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","Heat shock protein DnaJ, N-terminal;HSP40/DnaJ peptide-binding;Heat shock protein DnaJ, cysteine-rich domain;HSP40/DnaJ peptide-binding","UU","AT5G22060","AT5G22060","AT5G22060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416","Cytochrome d ubiquinol oxidase, 14kDa subunit","UU","AT5G25450","AT5G25450","AT5G25450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417","Heat shock protein DnaJ, N-terminal;HSP40/DnaJ peptide-binding;HSP40/DnaJ peptide-binding","UU","AT2G20560","AT2G20560","AT2G20560",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418","X8","UU","AT5G63225","AT5G63225","AT5G63225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419","NO_DESCRIPTION","UU","AT1G27090","AT1G27090","AT1G27090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420","Zinc finger, Dof-type","DD","AT2G34140","AT2G34140","AT2G34140","Dof","pos",3,1,4,1,1,3,3,0,1,0,0,7,1,1,2,2,1,2,0,1,1,1,0
"421","Multi antimicrobial extrusion protein MatE","DD","AT5G49130","AT5G49130","AT5G49130",NA,"pos",2,1,3,0,1,1,3,1,1,0,0,7,2,1,4,1,3,0,0,1,1,0,1
"422","SSF52540;NOVEL00058;ABC-2 type transporter;Plant PDR ABC transporter associated;NOVEL00059;ATPase, AAA+ type, core;NOVEL00057;ABC-2 type transporter","DD","AT1G15210","AT1G15210","AT1G15210",NA,"pos",2,1,6,2,0,1,4,1,3,1,2,5,1,1,4,1,1,1,1,1,1,1,1
"423","Transcriptional factor B3","DD","AT5G06250","AT5G06250","AT5G06250","B3","pos",2,2,4,1,0,2,3,1,3,0,1,1,2,1,3,2,1,2,1,1,1,1,1
"424","Transcription factor GRAS","DD","AT5G66770","AT5G66770","AT5G66770","GRAS","pos",3,1,3,1,1,3,3,0,0,1,2,4,1,0,6,1,1,1,0,1,1,0,1
"425","Peptidyl-tRNA hydrolase","UU","AT5G16140","AT5G16140","AT5G16140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"426","No apical meristem (NAM) protein","UU","AT4G01550","AT4G01550","AT4G01550","NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427","Zinc finger, ZPR1-type;Zinc finger, ZPR1-type","UU","AT5G37340","AT5G37340","AT5G37340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428","SSF47473","UU","AT1G76650","AT1G76650","AT1G76650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429","SSF54928","UU","AT1G07350","AT1G07350","AT1G07350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430","SSF47473","UU","AT1G76640","AT1G76640","AT1G76640",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431","Inhibitor of apoptosis-promoting Bax1 related","UU","AT3G63310","AT3G63310","AT3G63310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432","SSF51197","DD","AT5G63580","AT5G63580","AT5G63580",NA,"pos",1,0,2,1,0,0,3,0,0,0,0,3,1,1,3,1,1,0,0,1,1,1,1
"433","Terpenoid synthase","DD","AT2G18620","AT2G18620","AT2G18620",NA,"pos",2,1,3,1,1,3,1,0,2,1,1,4,1,0,3,1,2,0,0,1,0,1,1
"434","DNA-binding, integrase-type","UU","AT2G20880","AT2G20880","AT2G20880","ERF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"435","NO_DESCRIPTION","UU","AT1G07330","AT1G07330","AT1G07330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"436","Multi antimicrobial extrusion protein MatE","UU","AT1G51340","AT1G51340","AT1G51340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"437","Zinc finger, C2H2-like;Zinc finger, C2H2-like","UU","AT5G59820","AT5G59820","AT5G59820","C2H2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438","Ubiquitin-conjugating enzyme/RWD-like","UU","AT2G02760","AT2G02760","AT2G02760",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"439","Chaperonin clpA/B","UU","AT5G15450","AT5G15450","AT5G15450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
